Maritimo,Academica,home,01.05.2011,17:00,"Em casa, o Maritimo conquista uma vitória decisiva contra o Academica na Liga Portugal. Resumo do Jogo: O golo de Baba aos 0 minutos emociona os adeptos do Maritimo. O Addy D. vai tomar banho mais cedo, o juiz da partida levanta a cartolina vermelha ao minuto 5. Nunes L. recebe um cartão amarelo aos 5 minutos. Alonso comete uma infração e recebe um cartão amarelo aos 5 minutos. No minuto 6, Dias D. recebe um cartão amarelo. Robson comete uma infração e recebe um cartão amarelo aos 7 minutos. Benachour S. recebe um cartão amarelo aos 9 minutos. No minuto 9, Roberge V. recebe um cartão amarelo. Aos 90+ minutos, o árbitro mostra o cartão vermelho a Żółta kartka / Robson. "
Naval,Nacional,away,01.05.2011,17:00,"Vitória histórica para o Nacional sobre o Naval na Liga Portugal. Resumo do Jogo: No minuto 2, Fabio Junior recebe um cartão amarelo. No minuto 2, Barcelos D. coloca o Nacional em vantagem. Penalty Claudemir deixa a sua marca aos 30+ minutos com um incrível golo. Conceicao R. comete uma infração e recebe um cartão amarelo aos 30+ minutos. Um golo crucial é apontado por Edvaldo aos 4 minutos para a equipa da casa. No minuto 4, Salin R. recebe um cartão amarelo. Aos 6 minutos, o árbitro adverte Skolnik D. com um cartão amarelo. No minuto 7, Pinto N. recebe um cartão amarelo. Gomis B. recebe um cartão amarelo aos 7 minutos. O árbitro exibe um cartão amarelo a Mateus aos 80+ minutos. No minuto 8, Alberto L. recebe um cartão amarelo. "
Sporting,Portimonense,home,30.04.2011,21:15,"Vitória memorável para o Sporting numa partida épica contra o Portimonense na Liga Portugal. Resumo do Jogo: O golo de Postiga H. aos 2 minutos emociona os adeptos do Sporting. Pereira J. deixa a sua marca aos 4 minutos com um incrível golo. Ruben comete uma infração e recebe um cartão amarelo aos 45+ minutos. No minuto 4, Santos A. recebe um cartão amarelo. Ivanildo comete uma infração e recebe um cartão amarelo aos 6 minutos. Um golo crucial é apontado por Pires aos 6 minutos. Żółta kartka / Santos A. comete uma falta grave e é expulso com um cartão vermelho aos 8 minutos. O Pereira J. vai tomar banho mais cedo, o juiz da partida levanta a cartolina vermelha ao minuto 8. Aos 8 minutos, o árbitro adverte Saleiro C. com um cartão amarelo. "
Ferreira,Guimaraes,home,29.04.2011,21:15,"Num emocionante confronto, o Ferreira triunfa sobre o Guimaraes na Liga Portugal. Resumo do Jogo: Miguel R. comete uma infração e recebe um cartão amarelo aos 0 minutos. O golo de Abdelghani F. aos 1 minutos agita o jogo. No minuto 30+, Abdelghani F. recebe um cartão amarelo. O golo de Penalty Olimpio L. aos 45+ minutos emociona os adeptos do Ferreira. Aos 45+ minutos, o árbitro mostra o cartão vermelho a Żółta kartka / Abdelghani F.. Monteiro C. comete uma infração e recebe um cartão amarelo aos 45+ minutos. Santana A. comete uma infração e recebe um cartão amarelo aos 45+ minutos. Toscano M. recebe um cartão amarelo aos 45+ minutos. Aos 4 minutos, o árbitro adverte Leao A. com um cartão amarelo. O árbitro exibe um cartão amarelo a Pizzi aos 6 minutos. Rondon M. recebe um cartão amarelo aos 7 minutos. Caetano deixa a sua marca aos 8 minutos com um incrível golo. No minuto 9, Ribeiro J. recebe um cartão amarelo. Aos 90+ minutos, o árbitro adverte Ribeiro J. com um cartão amarelo. "
Nacional,Braga,draw,18.04.2011,21:15,"O Nacional empata com o Braga num jogo onde ambas equipas estiveram em alto nível. Resumo do Jogo: Custodio comete uma infração e recebe um cartão amarelo aos 5 minutos. Aos 6 minutos, o árbitro adverte Amaro B. com um cartão amarelo. No minuto 7, Barbosa H. coloca o Braga em vantagem. No minuto 8, Garcia M. recebe um cartão amarelo. O golo de Alberto L. aos 90+ minutos emociona os adeptos do Nacional. "
FC Porto,Sporting,home,17.04.2011,21:15,"Sporting sofre uma derrota nas mãos do FC Porto na Liga Portugal. Resumo do Jogo: Um golo crucial é apontado por Santos A. aos 1 minutos. No minuto 2, Maicon recebe um cartão amarelo. Um golo crucial é apontado por Falcao aos 2 minutos para a equipa da casa. Aos 3 minutos, o árbitro adverte Pereira A. com um cartão amarelo. No minuto 5, Falcao coloca o FC Porto em vantagem. Aos 5 minutos, o árbitro adverte Torsiglieri M. com um cartão amarelo. Moutinho J. comete uma infração e recebe um cartão amarelo aos 7 minutos. O árbitro exibe um cartão amarelo a Rolando aos 7 minutos. Walter deixa a sua marca aos 8 minutos com um incrível golo. Um golo crucial é apontado por Fernandez M. aos 8 minutos. "
Benfica,Beira Mar,home,17.04.2011,19:15,"O Benfica domina o Beira Mar e sai vitorioso na Liga Portugal. Resumo do Jogo: O árbitro exibe um cartão amarelo a Aimar P. aos 4 minutos. Aos 45+ minutos, o árbitro adverte Martins C. com um cartão amarelo. Aos 5 minutos, Sidnei marca um golo para a equipa da casa. O golo de Jara F. aos 7 minutos emociona os adeptos do Benfica. Aos 9 minutos, o árbitro adverte Pereira M. com um cartão amarelo. Aos 90+ minutos, Yartey I. marca um golo para a equipa visitante. "
Leiria,Portimonense,away,17.04.2011,17:00,"O Portimonense surpreende o Leiria com uma vitória dramática na Liga Portugal. Resumo do Jogo: Aos 2 minutos, o árbitro adverte Elias com um cartão amarelo. O árbitro exibe um cartão amarelo a Pinto A. aos 3 minutos. O árbitro exibe um cartão amarelo a Iturra M. aos 4 minutos. No minuto 6, Silva P. coloca o Portimonense em vantagem. O árbitro exibe um cartão amarelo a Silva P. aos 6 minutos. Aos 7 minutos, o árbitro adverte Panandetiguiri S. com um cartão amarelo. No minuto 7, Żółta kartka / Panandetiguiri S. é expulso com um cartão vermelho. Silva P. é expulso com um cartão vermelho aos 7 minutos. Simoes F. comete uma infração e recebe um cartão amarelo aos 8 minutos. "
Rio Ave,Naval,home,17.04.2011,17:00,"O Rio Ave domina o Naval e sai vitorioso na Liga Portugal. Resumo do Jogo: Um golo crucial é apontado por Milhazes C. aos 1 minutos para a equipa da casa. Lionn comete uma infração e recebe um cartão amarelo aos 1 minutos. Saulo recebe um cartão amarelo aos 6 minutos. Gaspar recebe um cartão amarelo aos 9 minutos. No minuto 9, Milhazes C. recebe um cartão amarelo. "
Guimaraes,Maritimo,home,16.04.2011,22:15,"O Guimaraes domina o Maritimo e sai vitorioso na Liga Portugal. Resumo do Jogo: Aos 5 minutos, o árbitro adverte Teles B. com um cartão amarelo. Robson recebe um cartão amarelo aos 5 minutos. Aos 5 minutos, Miguel R. marca um golo para a equipa da casa. Aos 6 minutos, o árbitro adverte Amaral L. com um cartão amarelo. Aos 6 minutos, o árbitro adverte Paulo J. com um cartão amarelo. Djalma recebe um cartão amarelo aos 8 minutos. Miguel R. comete uma infração e recebe um cartão amarelo aos 8 minutos. No minuto 8, Silva R. coloca o Guimaraes em vantagem. No minuto 9, Aurelio M. é expulso com um cartão vermelho. "
